Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Unit Price Total Measure,Unit Price Total Measure Unit,Unit Price Base Measure,Unit Price Base Measure Unit,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Color Variants (product.metafields.custom.color_variants),Product Information (product.metafields.custom.product_information),Board game mechanics (product.metafields.shopify.board-game-mechanics),Color (product.metafields.shopify.color-pattern),Dexterity skills (product.metafields.shopify.dexterity-skills),Game features (product.metafields.shopify.game-features),Gameplay skills (product.metafields.shopify.gameplay-skills),Recommended age group (product.metafields.shopify.recommended-age-group),Stationery binding type (product.metafields.shopify.stationery-binding-type),Toy/Game material (product.metafields.shopify.toy-game-material),Complementary products (product.metafields.shopify--discovery--product_recommendation.complementary_products),Related products (product.metafields.shopify--discovery--product_recommendation.related_products),Related products settings (product.metafields.shopify--discovery--product_recommendation.related_products_display),Search product boosts (product.metafields.shopify--discovery--product_search_boost.queries),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
fantastic-wood-pistachio,"Fantastic, Wood Pistachio","<p>Discover ""Fantastic"", a rechargeable portable fan designed for your desk or coffee table with a beautiful wooden frame. This fan operates in absolute silence and features three levels of wind speed, offering customizable cooling. With a 360-degree rotation capability, you can direct the breeze precisely where you need it. Experience a refreshing escape on hot summer days like never before. The box includes a USB C cable.</p>",Printworks,Portable Fan,Portable Fan,"medium-bag, SS26, YGroup_Fan",true,Title,Default Title,,,,,,,,PW00824,500,shopify,deny,manual,79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-pistachio.jpg?v=1767356783,1,,false,,,,"Vendor: Printworks
Type: Portable Fan
Weight: 500g",,,,,,,,,,,,,,kg,,,active
fantastic-wood-pistachio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-pistachio-2.jpg?v=1767356783,2,,,,,,,,,,,,,,,,,,,,,,,
fantastic-wood-pistachio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-pistachio-3.jpg?v=1767356784,3,,,,,,,,,,,,,,,,,,,,,,,
fantastic-wood-petroleum,"Fantastic, Wood Petroleum","<p>Discover ""Fantastic"", a rechargeable portable fan designed for your desk or coffee table with a beautiful wooden frame. This fan operates in absolute silence and features three levels of wind speed, offering customizable cooling. With a 360-degree rotation capability, you can direct the breeze precisely where you need it. Experience a refreshing escape on hot summer days like never before. The box includes a USB C cable.</p>",Printworks,Portable Fan,Portable Fan,"medium-bag, SS26, YGroup_Fan",true,Title,Default Title,,,,,,,,PW00823,500,shopify,deny,manual,79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-petroleum.jpg?v=1767356560,1,,false,,,,"Vendor: Printworks
Type: Portable Fan
Weight: 500g",,,,,,,,,,,,,,kg,,,active
fantastic-wood-petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-petroleum-2.jpg?v=1767356560,2,,,,,,,,,,,,,,,,,,,,,,,
fantastic-wood-petroleum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-petroleum-3.jpg?v=1767356560,3,,,,,,,,,,,,,,,,,,,,,,,
fantastic-wood-dusty-pink,"Fantastic, Wood Dusty Pink","<p>Discover ""Fantastic"", a rechargeable portable fan designed for your desk or coffee table with a beautiful wooden frame. This fan operates in absolute silence and features three levels of wind speed, offering customizable cooling. With a 360-degree rotation capability, you can direct the breeze precisely where you need it. Experience a refreshing escape on hot summer days like never before. The box includes a USB C cable.</p>",Printworks,Portable Fan,Portable Fan,"medium-bag, SS26, YGroup_Fan",true,Title,Default Title,,,,,,,,PW00822,500,shopify,deny,manual,79,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-dusty-pink.jpg?v=1767350146,1,,false,,,,"Vendor: Printworks
Type: Portable Fan
Weight: 500g",,,,,,,,,,,,,,kg,,,active
fantastic-wood-dusty-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-dusty-pink-2.jpg?v=1767350147,2,,,,,,,,,,,,,,,,,,,,,,,
fantastic-wood-dusty-pink,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_fan_wood-dusty-pink-3.jpg?v=1767350146,3,,,,,,,,,,,,,,,,,,,,,,,
be-my-guest-white-anthracite,"Be My Guest, White/Anthracite","<p>Discover our ""Be My Guest"" Book in white, presented in an anthracite slipcase for an elegant contrast. Designed with a classic cloth cover and smooth, high-quality pages, it’s made to be cherished for years to come. With 100 pages, it’s a timeless addition to your coffee table or bookshelf.</p>",Printworks,Guest Book,Guest Book,"medium-bag, SS26, YGroup_GuestBook",true,Title,Default Title,,,,,,,,PW00781,990,shopify,deny,manual,35,,true,true,,,,,,https://cdn.shopify.com/s/files/1/0724/3038/7509/files/Printworks_guest-book_grey_5b430029-63a3-4ef7-89f4-72bbdf08aac0.jpg?v=1767886697,1,,false,,,,"Vendor: Printworks
Type: Guest Book
Weight: 990g",,,,,,,,,,,,,,kg,,,active
